internal_id	activity_index	dysbiosis
MH0002	0.7288378097823132	FALSE
MH0003	0.7566293796853636	FALSE
MH0006	0.7914110551343405	FALSE
MH0009	0.8057062729813886	FALSE
MH0012	0.8162938813318648	FALSE
MH0014	0.7214266961707239	FALSE
MH0016	0.7232762084956427	FALSE
MH0020	0.8130187854958495	FALSE
MH0021	0.821544639881368	FALSE
MH0028	0.8315378823268167	FALSE
MH0032	0.9231848220084338	TRUE
MH0033	0.8467032261326785	TRUE
MH0040	0.8443770951003354	FALSE
MH0048	0.7841433901274557	FALSE
MH0049	0.780750537208019	FALSE
MH0050	0.880355132517017	TRUE
MH0051	0.7559755614084883	FALSE
MH0052	0.7672172292606765	FALSE
MH0053	0.8713842679929116	TRUE
MH0054	0.9164162092444286	TRUE
MH0055	0.8949581461438563	TRUE
MH0057	0.872898495927398	TRUE
MH0060	0.8932183544537036	TRUE
MH0069	0.8042856343759508	FALSE
MH0070	0.8667403925905448	TRUE
MH0071	0.9069620253164556	TRUE
MH0075	0.8803292260735154	TRUE
MH0076	0.7843822722197297	FALSE
MH0078	0.8039734037109636	FALSE
MH0079	0.8380649451394244	FALSE
MH0080	0.8890436364201397	TRUE
MH0086	0.7906345955858334	FALSE
MH0087	0.8641389026433679	TRUE
MH0088	0.7936437751539032	FALSE
MH0089	0.7253271878854171	FALSE
MH0090	0.7713965433842895	FALSE
MH0091	0.7929644452519494	FALSE
MH0092	0.7819429371802655	FALSE
MH0093	0.820461926327354	FALSE
MH0094	0.7536476694854561	FALSE
MH0095	0.8344567036963471	FALSE
MH0096	0.8523906032462156	TRUE
MH0097	0.8993343953732273	TRUE
MH0098	0.8277327405857741	FALSE
MH0099	0.8711051487501047	TRUE
MH0100	0.8617358625666327	TRUE
MH0101	0.8964404136642877	TRUE
MH0102	0.804731146971317	FALSE
MH0103	0.7873257867705383	FALSE
MH0104	0.8187574717894393	FALSE
MH0105	0.8194479332384388	FALSE
MH0106	0.7867679148119048	FALSE
MH0107	0.8232418147749401	FALSE
