sample_id	Bact_Phoc	Prevotella	Firmicutes	enterotype	Enterotype_Dysbiosis_Score
SAMEA7324948	0.38896444439888	0.19630685448646545	0.41576486825942993	Firmicutes	0.77475223293859
SAMEA7324860	0.3289414346218109	0.29747289419174194	0.38464054465293884	Firmicutes	0.8361889237380169
SAMEA7324846	0.26837772130966187	0.4136742949485779	0.33865076303482056	Prevotella	0.9194868601712295
SAMEA7324853	0.3176373243331909	0.30925998091697693	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324829	0.32642632722854614	0.29756081104278564	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324821	0.3370591402053833	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324944	0.5714558362960815	0.14879219233989716	0.30335304141044617	Bact_Phoc	0.5129871599224871
SAMEA7324871	0.3097226619720459	0.32887792587280273	0.3825492560863495	Firmicutes	0.8403169443389572
SAMEA7324847	0.2727510929107666	0.39798083901405334	0.3440069556236267	Prevotella	0.9395395012541108
SAMEA7324855	0.311804860830307	0.3137114346027374	0.3845515549182892	Firmicutes	0.8363645816858367
SAMEA7324872	0.31238195300102234	0.31863102316856384	0.3835926353931427	Firmicutes	0.8382574049038704
SAMEA7324888	0.34424006938934326	0.27716144919395447	0.4019802212715149	Firmicutes	0.8019619196608797
SAMEA7324842	0.3176373243331909	0.30674314498901367	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324881	0.18347248435020447	0.637323796749115	0.1954079121351242	Prevotella	0.6337140382585482
SAMEA7324825	0.2936035096645355	0.347116082906723	0.37878862023353577	Firmicutes	0.8477401103816844
SAMEA7324892	0.5437074899673462	0.1655614674091339	0.31835708022117615	Bact_Phoc	0.5712016226625412
SAMEA7324923	0.3438456654548645	0.24455277621746063	0.4169314503669739	Firmicutes	0.7724495019575262
SAMEA7324958	0.1308700144290924	0.7224892377853394	0.17510093748569489	Prevotella	0.5248921172686869
SAMEA7324794	0.3445381224155426	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324880	0.17012594640254974	0.6598803997039795	0.18466733396053314	Prevotella	0.6048918677315399
SAMEA7324912	0.3447197377681732	0.2889120876789093	0.38675838708877563	Firmicutes	0.8320084881231761
SAMEA7324925	0.3464818000793457	0.2858401834964752	0.3924192488193512	Firmicutes	0.8208344425054538
SAMEA7324814	0.33146366477012634	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324863	0.33146366477012634	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324805	0.33036139607429504	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324806	0.33036139607429504	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324807	0.32968398928642273	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324828	0.3176373243331909	0.3106720745563507	0.3839110732078552	Firmicutes	0.8376288365272949
