onlyID	kingdom	phylum	class	order	family	genus	species
07382	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_J	Clostridium_J ihumii
07383	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania massiliensis
07384	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Soleaferrea	Soleaferrea massiliensis
07385	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Tatlockia	Tatlockia drozanskii
07386	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella fallonii
07387	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Eperythrozoon_A	Eperythrozoon_A haemolamae
07388	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_A	Hyphomicrobium_A sulfonivorans
07389	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	B14	B14 sp000307305
07390	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_AN	Clostridium_AN bornimense
07391	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Dermatophilaceae	Janibacter	Janibacter corallicola
07392	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalogenimonas	Dehalogenimonas alkenigignens
07393	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Vannielia	Vannielia litorea
07394	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	Enterococcus_A pseudoavium
07395	Bacteria	Firmicutes	Bacilli	Bacillales_H	Bacillaceae_D	Alkalihalobacillus	Alkalihalobacillus alcalophilus
07396	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseinatronobacter	Roseinatronobacter thiooxidans
07397	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus	Bombilactobacillus mellifer
07398	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus melliventris
07399	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus	Bombilactobacillus mellis
07400	Bacteria	Cyanobacteria	Cyanobacteriia	PCC-6307	Cyanobiaceae	Prochlorococcus_A	Prochlorococcus_A marinus
